"","time","datacount","interval","activity","cumulativesteps","methrs"
"356",2019-04-11 15:14:34,548752,40.2,0,322,0.0139583333333333
"357",2019-04-11 15:15:14,549154,13.4,1,322,0.00521111111111111
"358",2019-04-11 15:15:27,549288,66.9,0,322,0.0232291666666667
"359",2019-04-11 15:16:34,549957,12.4,1,322,0.00482222222222222
"360",2019-04-11 15:16:47,550081,3.3,2,324,0.00200555555555556
"361",2019-04-11 15:16:50,550114,7.6,1,324,0.00295555555555556
"362",2019-04-11 15:16:57,550190,55.6,0,324,0.0193055555555556
"363",2019-04-11 15:17:53,550746,30.5,1,324,0.0118611111111111
"364",2019-04-11 15:18:24,551051,5.6,2,326,0.0029
"365",2019-04-11 15:18:29,551107,3.8,1,326,0.00147777777777778
"366",2019-04-11 15:18:33,551145,63.1,0,326,0.0219097222222222
"367",2019-04-11 15:19:36,551776,20.5,1,326,0.00797222222222222
"368",2019-04-11 15:19:57,551981,88.7,0,326,0.0307986111111111
"369",2019-04-11 15:21:25,552868,38.9,1,326,0.0151277777777778
"370",2019-04-11 15:22:04,553257,17.6,0,326,0.00611111111111111
"371",2019-04-11 15:22:22,553433,41,1,326,0.0159444444444444
"372",2019-04-11 15:23:03,553843,5.8,2,328,0.00297777777777778
"373",2019-04-11 15:23:09,553901,2.4,2,330,0.00165555555555556
"374",2019-04-11 15:23:11,553925,2,2,332,0.0015
"375",2019-04-11 15:23:13,553945,4.1,1,332,0.00159444444444444
"376",2019-04-11 15:23:17,553986,59.9,0,332,0.0207986111111111
"377",2019-04-11 15:24:17,554585,60.1,1,332,0.0233722222222222
"378",2019-04-11 15:25:17,555186,1482.3,0,332,0.5146875
"379",2019-04-11 15:49:59,570009,12.3,1,332,0.00478333333333333
"380",2019-04-11 15:50:12,570132,5.2,2,334,0.00274444444444444
"381",2019-04-11 15:50:17,570184,4.6,2,336,0.00251111111111111
"382",2019-04-11 15:50:21,570230,14.5,1,336,0.00563888888888889
"383",2019-04-11 15:50:36,570375,2.6,2,338,0.00173333333333333
"384",2019-04-11 15:50:39,570401,94.3,1,338,0.0366722222222222
"385",2019-04-11 15:52:13,571344,5.6,2,340,0.0029
"386",2019-04-11 15:52:18,571400,112.6,1,340,0.0437888888888889
"387",2019-04-11 15:54:11,572526,5.6,2,342,0.0029
"388",2019-04-11 15:54:17,572582,2.8,2,344,0.00181111111111111
"389",2019-04-11 15:54:20,572610,55,1,344,0.0213888888888889
"390",2019-04-11 15:55:15,573160,10.4,0,344,0.00361111111111111
"391",2019-04-11 15:55:25,573264,57.4,1,344,0.0223222222222222
"392",2019-04-11 15:56:22,573838,2.3,2,346,0.00161666666666667
"393",2019-04-11 15:56:25,573861,7.2,1,346,0.0028
